q_id,source_lang,target_lang,q_src,q_tgt,a_src,a_tgt,correct_source,correct_target,original_lang,original_content,original_question,original_answer,content,question,answer,language,translated,title,url
33,en,en,In which country was AFN Bremerhaven located?,In which country was AFN Bremerhaven located?,AFN Bremerhaven was located in **Germany**.,AFN Bremerhaven was located in **Germany**.,True,True,en,"AFN Bremerhaven was originally an ""Armed Forces Radio and Television Service"" (AFRTS) station. (AFRTS, worldwide, is now also known as ""American Forces Network"" or ""AFN"").  The Bremerhaven affiliate station was located in northern Germany. At the time, it was part of the ""American Forces Network - Europe.""  AFN Bremerhaven began broadcasting in 1945, originally as AFN Bremen.The station began operating just after World War II ended in Europe.  It was originally established in the north German city of Bremen in allied-occupied Germany as a small AM radio station with an AM repeater transmitter also broadcasting the station's signal in Bremerhaven, Germany, a port city on the Weser River near the entrance to the North Sea located just north of Bremen.== Military mission ==The radio station's mission was to provide information and entertainment to members of the American forces who were based in that part of northern Germany.  After World War II, the small north German US occupied area was originally known as the ""Bremen Enclave"", and it was an ""American island"" located in the portion of the newly formed West Germany that was originally occupied and controlled by British forces, (The British Occupation Zone of West Germany).== History ==Just after World War II, the port city of Bremerhaven was one of the major ports from where American forces embarked for return to the United States after fighting in the Second World War; later, the port brought US military personnel, their families, military equipment, as well as food and goods for the rebuilding of Europe to Germany via ships from the US.  Many of these shipments were, in part, in support of the Marshall Plan designed to assist and re-build war-torn Europe. Later, in the 1960s, and thereafter, most personnel movement was done via air travel.",In which country was AFN Bremerhaven located?,Germany,"AFN Bremerhaven was originally an ""Armed Forces Radio and Television Service"" (AFRTS) station. (AFRTS, worldwide, is now also known as ""American Forces Network"" or ""AFN"").  The Bremerhaven affiliate station was located in northern Germany. At the time, it was part of the ""American Forces Network - Europe.""  AFN Bremerhaven began broadcasting in 1945, originally as AFN Bremen.The station began operating just after World War II ended in Europe.  It was originally established in the north German city of Bremen in allied-occupied Germany as a small AM radio station with an AM repeater transmitter also broadcasting the station's signal in Bremerhaven, Germany, a port city on the Weser River near the entrance to the North Sea located just north of Bremen.== Military mission ==The radio station's mission was to provide information and entertainment to members of the American forces who were based in that part of northern Germany.  After World War II, the small north German US occupied area was originally known as the ""Bremen Enclave"", and it was an ""American island"" located in the portion of the newly formed West Germany that was originally occupied and controlled by British forces, (The British Occupation Zone of West Germany).== History ==Just after World War II, the port city of Bremerhaven was one of the major ports from where American forces embarked for return to the United States after fighting in the Second World War; later, the port brought US military personnel, their families, military equipment, as well as food and goods for the rebuilding of Europe to Germany via ships from the US.  Many of these shipments were, in part, in support of the Marshall Plan designed to assist and re-build war-torn Europe. Later, in the 1960s, and thereafter, most personnel movement was done via air travel.",In which country was AFN Bremerhaven located?,Germany,en,0,AFN Bremerhaven,https://en.wikipedia.org/wiki/AFN_Bremerhaven
30,en,en,What was the position of August Joseph Donatelli's plane during World War II when it was shot down?,What was the position of August Joseph Donatelli's plane during World War II when it was shot down?,"August Joseph Donatelli was flying a B-24 Liberator bomber named ""The Deacon"" as part of the 376th Bomb Group, 513th Bomb Squadron. On **August 1, 1943, during Operation Tidal Wave, a raid on the oil refineries at Ploesti, Romania**, his plane was shot down.

Specifically, ""The Deacon"" **was shot down *after* bombing its target, the Astra Romana Refinery in Ploesti.** While exact accounts vary slightly, it's generally accepted that it was hit by heavy flak while heading away from the target. The plane","August Joseph Donatelli was flying a B-24 Liberator bomber named ""The Deacon"" as part of the 376th Bomb Group, 513th Bomb Squadron. On **August 1, 1943, during Operation Tidal Wave, a raid on the oil refineries at Ploesti, Romania**, his plane was shot down.

Specifically, ""The Deacon"" **was shot down *after* bombing its target, the Astra Romana Refinery in Ploesti.** While exact accounts vary slightly, it's generally accepted that it was hit by heavy flak while heading away from the target. The plane",False,False,en,"August Joseph Donatelli (August 22, 1914 – May 24, 1990) was an American umpire in Major League Baseball who worked in the National League from 1950 to 1973. Highly regarded for his ability, he was also known for his inclination to eject players and managers quickly and dramatically. He was on the cover of the first issue of Sports Illustrated, with catcher Wes Westrum and batter Eddie Mathews, in August 1954.== Life and career ==Known as Gus to those close with him, Donatelli was born in Heilwood, Pennsylvania, and raised in Bakerton. After enjoying a 14-game career as a minor league infielder in 1938, he served in the Army Air Forces' Eighth Air Force during World War II and spent 15 months as a German prisoner of war after flying 18 missions as a tailgunner on a B-17. Donatelli's plane was shot down during the first daylight raid on Berlin, and he suffered a broken ankle upon parachuting. He began umpiring softball games while a POW before being freed when Soviet troops overran the area. After the war, Donatelli opted for an umpiring career rather than a return to the coal mines near his hometown, and after graduating from Bill McGowan's school in 1946 worked in the Pioneer League in 1946, the South Atlantic League in 1947, and the International League in 1948–49.During his major league career, Donatelli umpired in the World Series in 1955 (outfield only), 1957, 1961, 1967 and 1973. He also officiated in the National League Championship Series in 1969 and 1972, serving as crew chief for the latter series, and in the three-game playoff series to determine the NL champion in both 1959 and 1962.",What was the position of August Joseph Donatelli's plane during World War II when it was shot down?,Tailgunner,"August Joseph Donatelli (August 22, 1914 – May 24, 1990) was an American umpire in Major League Baseball who worked in the National League from 1950 to 1973. Highly regarded for his ability, he was also known for his inclination to eject players and managers quickly and dramatically. He was on the cover of the first issue of Sports Illustrated, with catcher Wes Westrum and batter Eddie Mathews, in August 1954.== Life and career ==Known as Gus to those close with him, Donatelli was born in Heilwood, Pennsylvania, and raised in Bakerton. After enjoying a 14-game career as a minor league infielder in 1938, he served in the Army Air Forces' Eighth Air Force during World War II and spent 15 months as a German prisoner of war after flying 18 missions as a tailgunner on a B-17. Donatelli's plane was shot down during the first daylight raid on Berlin, and he suffered a broken ankle upon parachuting. He began umpiring softball games while a POW before being freed when Soviet troops overran the area. After the war, Donatelli opted for an umpiring career rather than a return to the coal mines near his hometown, and after graduating from Bill McGowan's school in 1946 worked in the Pioneer League in 1946, the South Atlantic League in 1947, and the International League in 1948–49.During his major league career, Donatelli umpired in the World Series in 1955 (outfield only), 1957, 1961, 1967 and 1973. He also officiated in the National League Championship Series in 1969 and 1972, serving as crew chief for the latter series, and in the three-game playoff series to determine the NL champion in both 1959 and 1962.",What was the position of August Joseph Donatelli's plane during World War II when it was shot down?,Tailgunner,en,0,Augie Donatelli,https://en.wikipedia.org/wiki/Augie_Donatelli
55,en,en,What was the television network that aired The Greatest Canadian Invention?,What was the television network that aired The Greatest Canadian Invention?,The television network that aired The Greatest Canadian Invention was **CBC (Canadian Broadcasting Corporation)**.,The television network that aired The Greatest Canadian Invention was **CBC (Canadian Broadcasting Corporation)**.,True,True,en,The Greatest Canadian Invention is a spiritual sequel to The Greatest Canadian originally aired on CBC Television.It began with CBC viewers voting online on which invention (out of 50) they considered to be the greatest Canadian invention.,What was the television network that aired The Greatest Canadian Invention?,CBC Television,The Greatest Canadian Invention is a spiritual sequel to The Greatest Canadian originally aired on CBC Television.It began with CBC viewers voting online on which invention (out of 50) they considered to be the greatest Canadian invention.,What was the television network that aired The Greatest Canadian Invention?,CBC Television,en,0,The Greatest Canadian Invention,https://en.wikipedia.org/wiki/The_Greatest_Canadian_Invention
39,en,en,Since which decade did bowl games start counting toward single-season and career statistics?,Since which decade did bowl games start counting toward single-season and career statistics?,Bowl game statistics started counting toward single-season and career statistics in **2002**.,Bowl game statistics started counting toward single-season and career statistics in **2002**.,True,True,en,"The Cincinnati Bearcats football statistical leaders are individual statistical leaders of the Cincinnati Bearcats football program in various categories, including passing, rushing, receiving, total offense, all-purpose yardage, defensive stats, and kicking. Within those areas, the lists identify single-game, single-season, and career leaders. As of the upcoming 2023 season, the Bearcats represent the University of Cincinnati in the NCAA Division I FBS Big 12 Conference.Although Cincinnati began competing in intercollegiate football in 1885, the school's official record book considers the ""modern era"" to have begun in 1950s. Records from before this year are often incomplete and inconsistent, and they are generally not included in these lists.These lists are dominated by more recent players for several reasons:Since 1950s, seasons have increased from 10 games to 11 and then 12 games in length.The NCAA didn't allow freshmen to play varsity football until 1972 (with the exception of the World War II years), allowing players to have four-year careers.Bowl games only began counting toward single-season and career statistics in 2002. The Bearcats have played in 14 bowl games since then, giving many recent players an extra game to accumulate statistics.The American Athletic Conference, in which Cincinnati played from 2013 to 2022, has held a championship game since 2015.",Since which decade did bowl games start counting toward single-season and career statistics?,2000s,"The Cincinnati Bearcats football statistical leaders are individual statistical leaders of the Cincinnati Bearcats football program in various categories, including passing, rushing, receiving, total offense, all-purpose yardage, defensive stats, and kicking. Within those areas, the lists identify single-game, single-season, and career leaders. As of the upcoming 2023 season, the Bearcats represent the University of Cincinnati in the NCAA Division I FBS Big 12 Conference.Although Cincinnati began competing in intercollegiate football in 1885, the school's official record book considers the ""modern era"" to have begun in 1950s. Records from before this year are often incomplete and inconsistent, and they are generally not included in these lists.These lists are dominated by more recent players for several reasons:Since 1950s, seasons have increased from 10 games to 11 and then 12 games in length.The NCAA didn't allow freshmen to play varsity football until 1972 (with the exception of the World War II years), allowing players to have four-year careers.Bowl games only began counting toward single-season and career statistics in 2002. The Bearcats have played in 14 bowl games since then, giving many recent players an extra game to accumulate statistics.The American Athletic Conference, in which Cincinnati played from 2013 to 2022, has held a championship game since 2015.",Since which decade did bowl games start counting toward single-season and career statistics?,2000s,en,0,Cincinnati Bearcats football statistical leaders,https://en.wikipedia.org/wiki/Cincinnati_Bearcats_football_statistical_leaders
63,en,en,What is the original name of Entebbe General Hospital?,What is the original name of Entebbe General Hospital?,The original name of Entebbe General Hospital was **Entebbe Grade B Hospital**.,The original name of Entebbe General Hospital was **Entebbe Grade B Hospital**.,True,True,en,"Entebbe General Hospital, commonly known as Entebbe Hospital, is a hospital in the town of Entebbe, in the Central Region of Uganda.== Location ==The hospital is located in the central business district of the town of Entebbe, in Wakiso District, approximately 44 kilometres (27 mi), by road, southwest of Mulago National Referral Hospital, the largest hospital in the country, located in Kampala, Uganda's capital and largest city. The coordinates of the hospital are:0°03'50.0""N, 32°28'18.0""E (Latitude:0.063874; Longitude:32.471655).== Overview ==Entebbe General Hospital is a public hospital funded by the Uganda Ministry of Health. Originally built by the British colonialists in the 20th century as Entebbe Grade B Hospital, the facility was closed temporarily in December 2013. Between December 2013 and May 2016, the hospital was rebuilt and expanded from 100 to 200 beds at a cost of US$7 million (about UGX:23.2 billion), donated by the World Bank. The new facility has a private fee-for-service wing and a public, free-service wing. Other services include pediatrics, radiology, laboratory, maternity, immunization, general surgery, internal medicine, orthopedics  and operating rooms. Patients served come from Wakiso District, Mpigi District, Entebbe Town, and the neighboring islands in Lake Victoria.== Recent developments ==The hospital featured prominently during the two COVID-19 pandemic waves in Uganda, one in 2020 and another 2021.",What is the original name of Entebbe General Hospital?,Entebbe Grade B Hospital,"Entebbe General Hospital, commonly known as Entebbe Hospital, is a hospital in the town of Entebbe, in the Central Region of Uganda.== Location ==The hospital is located in the central business district of the town of Entebbe, in Wakiso District, approximately 44 kilometres (27 mi), by road, southwest of Mulago National Referral Hospital, the largest hospital in the country, located in Kampala, Uganda's capital and largest city. The coordinates of the hospital are:0°03'50.0""N, 32°28'18.0""E (Latitude:0.063874; Longitude:32.471655).== Overview ==Entebbe General Hospital is a public hospital funded by the Uganda Ministry of Health. Originally built by the British colonialists in the 20th century as Entebbe Grade B Hospital, the facility was closed temporarily in December 2013. Between December 2013 and May 2016, the hospital was rebuilt and expanded from 100 to 200 beds at a cost of US$7 million (about UGX:23.2 billion), donated by the World Bank. The new facility has a private fee-for-service wing and a public, free-service wing. Other services include pediatrics, radiology, laboratory, maternity, immunization, general surgery, internal medicine, orthopedics  and operating rooms. Patients served come from Wakiso District, Mpigi District, Entebbe Town, and the neighboring islands in Lake Victoria.== Recent developments ==The hospital featured prominently during the two COVID-19 pandemic waves in Uganda, one in 2020 and another 2021.",What is the original name of Entebbe General Hospital?,Entebbe Grade B Hospital,en,0,Entebbe General Hospital,https://en.wikipedia.org/wiki/Entebbe_General_Hospital
56,en,en,What was the name of the University of Detroit's halfback in the 1929 football season?,What was the name of the University of Detroit's halfback in the 1929 football season?,The University of Detroit's star halfback in the 1929 season was **Lloyd Brazil**.,The University of Detroit's star halfback in the 1929 season was **Lloyd Brazil**.,True,True,en,"The 1929 Detroit Titans football team represented the University of Detroit in the 1929 college football season. Detroit outscored opponents by a combined total of 174 to 52 and finished with a 7–1–1 record in their fifth year under head coach and College Football Hall of Fame inductee, Gus Dorais. Significant games included a victories over Tulsa (21–6), West Virginia (36–0), Michigan State (25–0), a loss to Oregon State (14–7), and a tie with Marquette (6–6).The team was led by halfback Lloyd Brazil of whom coach Dorais later said: ""As far as I'm concerned, there were only three great collegiate backs in my lifetime -- Jim Thorpe, George Gipp and Lloyd Brazil.""Arthur ""Bud"" Boeringer and Harvey Brown were the line coaches. Johnny Fredericks was the freshman coach. Michael H. ""Dad"" Butler was the team's trainer.",What was the name of the University of Detroit's halfback in the 1929 football season?,Lloyd Brazil,"The 1929 Detroit Titans football team represented the University of Detroit in the 1929 college football season. Detroit outscored opponents by a combined total of 174 to 52 and finished with a 7–1–1 record in their fifth year under head coach and College Football Hall of Fame inductee, Gus Dorais. Significant games included a victories over Tulsa (21–6), West Virginia (36–0), Michigan State (25–0), a loss to Oregon State (14–7), and a tie with Marquette (6–6).The team was led by halfback Lloyd Brazil of whom coach Dorais later said: ""As far as I'm concerned, there were only three great collegiate backs in my lifetime -- Jim Thorpe, George Gipp and Lloyd Brazil.""Arthur ""Bud"" Boeringer and Harvey Brown were the line coaches. Johnny Fredericks was the freshman coach. Michael H. ""Dad"" Butler was the team's trainer.",What was the name of the University of Detroit's halfback in the 1929 football season?,Lloyd Brazil,en,0,1929 Detroit Titans football team,https://en.wikipedia.org/wiki/1929_Detroit_Titans_football_team
42,en,en,What is the original name of the Flood Modeller software?,What is the original name of the Flood Modeller software?,The original name of the Flood Modeller software was **ISIS**.,The original name of the Flood Modeller software was **ISIS**.,True,True,en,"Flood Modeller is a computer program developed by Jacobs that assesses flood risk by simulating the flow of water through river channels, urban drainage networks and across floodplains using a range of one- and two-dimensional hydraulic solvers. The software incorporates a user interface for building, running and viewing the results of models, including a GIS map interface.The software has been independently benchmarked by the Environment Agency and is used extensively to undertake modelling of flood risk, develop flood risk management schemes and provide flood forecasting services.== Development History ==Initially developed by Halcrow Group and then CH2M Hill, Flood Modeller is now developed by Jacobs Solutions.  Flood Modeller was previously known as ""ISIS"" (after the local name for the Upper Thames).== Solvers ===== 1D solvers ===Flood Modeller includes steady-state and unsteady 1D river solvers for modelling open-channels.It also provides a 1D urban solver for modelling urban drainage systems.=== 2D solvers ===Flood Modeller includes three different 2D solvers:The ADI solver is based on the DIVAST numerical engine first developed in the 1980s, and is designed to simulate fluvial, overland, estuarine and coastal situations where flow does not rapidly change.The TVD solver is designed to represent rapid changes in the water surface profile, but results in longer run-times.The FAST solver uses simplified hydraulics to perform rapid assessments of flooding.",What is the original name of the Flood Modeller software?,ISIS,"Flood Modeller is a computer program developed by Jacobs that assesses flood risk by simulating the flow of water through river channels, urban drainage networks and across floodplains using a range of one- and two-dimensional hydraulic solvers. The software incorporates a user interface for building, running and viewing the results of models, including a GIS map interface.The software has been independently benchmarked by the Environment Agency and is used extensively to undertake modelling of flood risk, develop flood risk management schemes and provide flood forecasting services.== Development History ==Initially developed by Halcrow Group and then CH2M Hill, Flood Modeller is now developed by Jacobs Solutions.  Flood Modeller was previously known as ""ISIS"" (after the local name for the Upper Thames).== Solvers ===== 1D solvers ===Flood Modeller includes steady-state and unsteady 1D river solvers for modelling open-channels.It also provides a 1D urban solver for modelling urban drainage systems.=== 2D solvers ===Flood Modeller includes three different 2D solvers:The ADI solver is based on the DIVAST numerical engine first developed in the 1980s, and is designed to simulate fluvial, overland, estuarine and coastal situations where flow does not rapidly change.The TVD solver is designed to represent rapid changes in the water surface profile, but results in longer run-times.The FAST solver uses simplified hydraulics to perform rapid assessments of flooding.",What is the original name of the Flood Modeller software?,ISIS,en,0,Flood Modeller,https://en.wikipedia.org/wiki/Flood_Modeller
46,en,en,What religious practice did the Magars follow?,What religious practice did the Magars follow?,"The Magar people have a diverse range of religious practices, primarily influenced by Hinduism and Buddhism, alongside their indigenous traditions.

*   **Hinduism:** Many Magars, especially those in the southern regions, follow Hinduism and observe Hindu festivals and rituals.

*   **Buddhism:** Buddhism is also prevalent, particularly in the northern Magar communities, with influences from Tibetan Buddhism.

*   **Indigenous Beliefs:** Importantly, the Magars have their own unique pre-Hindu and pre-Buddhist animistic beliefs and shamanistic practices, often centered around ancestor worship, nature spirits, and the role of shamans (Dhami","The Magar people have a diverse range of religious practices, primarily influenced by Hinduism and Buddhism, alongside their indigenous traditions.

*   **Hinduism:** Many Magars, especially those in the southern regions, follow Hinduism and observe Hindu festivals and rituals.

*   **Buddhism:** Buddhism is also prevalent, particularly in the northern Magar communities, with influences from Tibetan Buddhism.

*   **Indigenous Beliefs:** Importantly, the Magars have their own unique pre-Hindu and pre-Buddhist animistic beliefs and shamanistic practices, often centered around ancestor worship, nature spirits, and the role of shamans (Dhami",False,False,en,"Magarat is It was settled and inhabited by Magars, one of the largest indigenous ethnic groups of Nepal. It is a geographical cluster in Nepal that existed in the modern territory of Nepal before the Unification of Nepal. It extended from the Budhi Gandaki River the West.Palpa district and Rolpa district of Nepal (majority of Kham Magars), both located in Province 5 of Nepal, are the top two districts of Nepal with the highest indigenous Magar population.== Magars ==Magars are martial people who first established their kingdom in present-day western Nepal. They were animistic and shamanic in their religious practices. The Kham Magar of the upper Karnali basin and their brethren of the mid-hills of Nepal had a flourishing kingdom. Archaeological proof of their existence can be found in the western mid-hills of Nepal. The Magar have a strong military and warrior tradition. However, their hospitality and concern for their fellow human beings is legendary.",What religious practice did the Magars follow?,Animism and shamanism,"Magarat is It was settled and inhabited by Magars, one of the largest indigenous ethnic groups of Nepal. It is a geographical cluster in Nepal that existed in the modern territory of Nepal before the Unification of Nepal. It extended from the Budhi Gandaki River the West.Palpa district and Rolpa district of Nepal (majority of Kham Magars), both located in Province 5 of Nepal, are the top two districts of Nepal with the highest indigenous Magar population.== Magars ==Magars are martial people who first established their kingdom in present-day western Nepal. They were animistic and shamanic in their religious practices. The Kham Magar of the upper Karnali basin and their brethren of the mid-hills of Nepal had a flourishing kingdom. Archaeological proof of their existence can be found in the western mid-hills of Nepal. The Magar have a strong military and warrior tradition. However, their hospitality and concern for their fellow human beings is legendary.",What religious practice did the Magars follow?,Animism and shamanism,en,0,Magarat,https://en.wikipedia.org/wiki/Magarat
57,en,en,What does the lowest part of the Espiritu Santo Formation consist of?,What does the lowest part of the Espiritu Santo Formation consist of?,The lowest part of the Espiritu Santo Formation consists of **a basal red conglomerate and sandstone**.,The lowest part of the Espiritu Santo Formation consists of **a basal red conglomerate and sandstone**.,False,False,en,"The Arroyo Penasco Group is a group of geological formations exposed in the Nacimiento, Jemez, Sandia, and Sangre de Cristo Mountains of northern New Mexico. It preserves fossils characteristic of the late Mississippian.== Description ==The Arroyo Penasco Group consists of marine sedimentary formations, primarily massive limestone but with some sandstone. It is divided into the lower Espiritu Santo Formation and the upper Tererro Formation.The lowermost part of the Espiritu Santo Formation is designated the Del Padre Member and is a transgressive siltstone, sandstone, and shale unit, which interfingers with the carbonate rocks of the upper Espiritu Santo Formation, recording the advance of the sea into the area. A similar sequence is seen in the Tererro Formation, whose base is a collapse breccia.The group rests everywhere on Precambrian basement that shows remarkably little relief, suggesting that the group was deposited on a peneplain. Its outcrops are spotty and its upper contact shows indications of well-developed karst topography, often filled in by the iron-rich sediments of the Log Springs Formation, indicating that it was heavily eroded before deposition of the Sandia Formation.The Espiritu Santo Formation has undergone dolomitization, dedolomitization, and calcitization of gypsum and the Macho Member (the lowest part of the Tererro Formation) has experienced dissolution and brecciation. Together with the presence of paleosilcretes in the Manuelitas Member, the middle part of the Tererro Formation, this suggests a history of at least four episodes of sea level fluctuation during the Mississippian in northern New Mexico.",What does the lowest part of the Espiritu Santo Formation consist of?,"Siltstone, sandstone, and shale","The Arroyo Penasco Group is a group of geological formations exposed in the Nacimiento, Jemez, Sandia, and Sangre de Cristo Mountains of northern New Mexico. It preserves fossils characteristic of the late Mississippian.== Description ==The Arroyo Penasco Group consists of marine sedimentary formations, primarily massive limestone but with some sandstone. It is divided into the lower Espiritu Santo Formation and the upper Tererro Formation.The lowermost part of the Espiritu Santo Formation is designated the Del Padre Member and is a transgressive siltstone, sandstone, and shale unit, which interfingers with the carbonate rocks of the upper Espiritu Santo Formation, recording the advance of the sea into the area. A similar sequence is seen in the Tererro Formation, whose base is a collapse breccia.The group rests everywhere on Precambrian basement that shows remarkably little relief, suggesting that the group was deposited on a peneplain. Its outcrops are spotty and its upper contact shows indications of well-developed karst topography, often filled in by the iron-rich sediments of the Log Springs Formation, indicating that it was heavily eroded before deposition of the Sandia Formation.The Espiritu Santo Formation has undergone dolomitization, dedolomitization, and calcitization of gypsum and the Macho Member (the lowest part of the Tererro Formation) has experienced dissolution and brecciation. Together with the presence of paleosilcretes in the Manuelitas Member, the middle part of the Tererro Formation, this suggests a history of at least four episodes of sea level fluctuation during the Mississippian in northern New Mexico.",What does the lowest part of the Espiritu Santo Formation consist of?,"Siltstone, sandstone, and shale",en,0,Arroyo Penasco Group,https://en.wikipedia.org/wiki/Arroyo_Penasco_Group
66,en,en,In which year was the Toronto edition of Ming Pao Daily News launched?,In which year was the Toronto edition of Ming Pao Daily News launched?,The Toronto edition of Ming Pao Daily News was launched in **1993**.,The Toronto edition of Ming Pao Daily News was launched in **1993**.,True,True,en,"Ming Pao Daily News (Chinese: 明報; pinyin: Míng Bào), or Ming Pao for short, is a Chinese language newspaper in Canada owned by the Ming Pao Group of Hong Kong.Ming Pao in Canada has two editions. The Eastern edition (加東版; Jiā dōng bǎn) published in Toronto, Ontario was launched in May 1993 by then Chairman P.H. Yu, and competed in the local Chinese community with Sing Tao Daily and World Journal. The Toronto editorial offices are located in Agincourt. Shortly after in October 1993, the Western edition (加西版; Jiā xī bǎn) was launched in Vancouver, British Columbia.The paper is published 7 days a week in broadsheet format. News coverage include Canadian news (including national, provincial, city and community pages), international news, Hong Kong news, Mainland China and Taiwan news, plus lifestyle, entertainment, and sports sections.== Supplements (magazines) ==The Canada Eastern edition of Ming Pao publishes several weekly supplements (magazines). Unlike the situation in Hong Kong where the magazines are sold as separate publications, these are more properly called supplements that come free with the paper. The pages inside the magazines are also printed on newsprint instead of glossy paper.",In which year was the Toronto edition of Ming Pao Daily News launched?,1993,"Ming Pao Daily News (Chinese: 明報; pinyin: Míng Bào), or Ming Pao for short, is a Chinese language newspaper in Canada owned by the Ming Pao Group of Hong Kong.Ming Pao in Canada has two editions. The Eastern edition (加東版; Jiā dōng bǎn) published in Toronto, Ontario was launched in May 1993 by then Chairman P.H. Yu, and competed in the local Chinese community with Sing Tao Daily and World Journal. The Toronto editorial offices are located in Agincourt. Shortly after in October 1993, the Western edition (加西版; Jiā xī bǎn) was launched in Vancouver, British Columbia.The paper is published 7 days a week in broadsheet format. News coverage include Canadian news (including national, provincial, city and community pages), international news, Hong Kong news, Mainland China and Taiwan news, plus lifestyle, entertainment, and sports sections.== Supplements (magazines) ==The Canada Eastern edition of Ming Pao publishes several weekly supplements (magazines). Unlike the situation in Hong Kong where the magazines are sold as separate publications, these are more properly called supplements that come free with the paper. The pages inside the magazines are also printed on newsprint instead of glossy paper.",In which year was the Toronto edition of Ming Pao Daily News launched?,1993,en,0,Ming Pao Daily News (Canada),https://en.wikipedia.org/wiki/Ming_Pao_Daily_News_(Canada)
