,question,answer,relation,subject,object,index,prompt_id,q_id
0,냇 킹 콜가 어떤 악기를 연주하나요?,피아노,instrument,냇 킹 콜,피아노,4757,0,4757_0
1,냇 킹 콜가 어떤 악기를 연주하나요?,피아노,instrument,냇 킹 콜,피아노,4757,1,4757_1
2,냇 킹 콜가 음악을 만들 때 무엇을 사용하나요?,피아노,instrument,냇 킹 콜,피아노,4757,2,4757_2
3,냇 킹 콜가 연주로 유명한 악기는 무엇인가요?,피아노,instrument,냇 킹 콜,피아노,4757,3,4757_3
4,냇 킹 콜가 능숙한 음악 도구는 무엇인가요?,피아노,instrument,냇 킹 콜,피아노,4757,4,4757_4
5,지미 페이지가 어떤 악기를 연주하나요?,바이올린,instrument,지미 페이지,바이올린,4758,0,4758_0
6,지미 페이지가 어떤 악기를 연주하나요?,바이올린,instrument,지미 페이지,바이올린,4758,1,4758_1
7,지미 페이지가 음악을 만들 때 무엇을 사용하나요?,바이올린,instrument,지미 페이지,바이올린,4758,2,4758_2
8,지미 페이지가 연주로 유명한 악기는 무엇인가요?,바이올린,instrument,지미 페이지,바이올린,4758,3,4758_3
9,지미 페이지가 능숙한 음악 도구는 무엇인가요?,바이올린,instrument,지미 페이지,바이올린,4758,4,4758_4
10,닐 영가 어떤 악기를 연주하나요?,하모니카,instrument,닐 영,하모니카,4759,0,4759_0
11,닐 영가 어떤 악기를 연주하나요?,하모니카,instrument,닐 영,하모니카,4759,1,4759_1
12,닐 영가 음악을 만들 때 무엇을 사용하나요?,하모니카,instrument,닐 영,하모니카,4759,2,4759_2
13,닐 영가 연주로 유명한 악기는 무엇인가요?,하모니카,instrument,닐 영,하모니카,4759,3,4759_3
14,닐 영가 능숙한 음악 도구는 무엇인가요?,하모니카,instrument,닐 영,하모니카,4759,4,4759_4
15,어리사 프랭클린가 어떤 악기를 연주하나요?,피아노,instrument,어리사 프랭클린,피아노,4760,0,4760_0
16,어리사 프랭클린가 어떤 악기를 연주하나요?,피아노,instrument,어리사 프랭클린,피아노,4760,1,4760_1
17,어리사 프랭클린가 음악을 만들 때 무엇을 사용하나요?,피아노,instrument,어리사 프랭클린,피아노,4760,2,4760_2
